entry_datetime,exit_datetime,entry_type,asset,bias,entry_price,exit_price,sl,target_nq,target_es,exit_reason,pnl_points,risk_points,rr_achieved,breakeven_applied,div_born_at
2018-03-29 14:00:00-04:00,2018-04-01 18:00:00-04:00,base,nq,bull,6604.5,6604.5,6421.0,7043.0,2756.5,SL,0.0,183.5,0.0,True,2018-03-27 14:00:00-04:00
2018-04-05 10:00:00-04:00,2018-04-05 14:00:00-04:00,asset,nq,bear,6621.0,6581.25,6651.75,6306.75,2552.0,TARGET,39.75,30.75,1.29,False,2018-04-05 10:00:00-04:00
2018-04-10 18:00:00-04:00,2018-04-12 06:00:00-04:00,asset,es,bear,2654.5,2666.25,2666.25,6306.75,2552.0,SL,-11.75,11.75,-1.0,False,2018-04-10 14:00:00-04:00
2018-04-12 14:00:00-04:00,2018-04-13 06:00:00-04:00,asset,nq,bear,6650.75,6690.75,6690.75,6306.75,2552.0,SL,-40.0,40.0,-1.0,False,2018-04-10 14:00:00-04:00
2018-05-03 14:00:00-04:00,2018-05-04 14:00:00-04:00,asset,es,bull,2627.75,2669.5,2591.25,6772.0,2688.5,TARGET,41.75,36.5,1.14,False,2018-05-01 02:00:00-04:00
2018-05-08 22:00:00-04:00,2018-05-09 02:00:00-04:00,base,nq,bear,6817.5,6848.75,6848.75,6538.0,2591.25,SL,-31.25,31.25,-1.0,False,2018-05-06 18:00:00-04:00
2018-06-20 02:00:00-04:00,2018-06-20 10:00:00-04:00,base,nq,bull,7270.25,7332.0,7162.0,7321.0,2796.0,TARGET,61.75,108.25,0.57,False,2018-06-18 06:00:00-04:00
2018-07-16 10:00:00-04:00,2018-07-17 10:00:00-04:00,base,es,bear,2801.0,2807.5,2807.5,7204.5,2761.75,SL,-6.5,6.5,-1.0,False,2018-07-15 18:00:00-04:00
2018-07-18 10:00:00-04:00,2018-07-23 14:00:00-04:00,base,nq,bear,7402.0,7402.0,7436.0,7204.5,2761.75,SL,0.0,34.0,0.0,True,2018-07-15 18:00:00-04:00
2018-08-23 14:00:00-04:00,2018-08-24 10:00:00-04:00,base,es,bear,2857.75,2868.25,2868.25,7316.5,2803.0,SL,-10.5,10.5,-1.0,False,2018-08-19 18:00:00-04:00
2018-09-06 18:00:00-04:00,2018-09-07 06:00:00-04:00,asset,nq,bull,7454.75,7426.75,7426.75,7697.0,2917.5,SL,-28.0,28.0,-1.0,False,2018-09-06 10:00:00-04:00
2018-09-07 10:00:00-04:00,2018-09-09 18:00:00-04:00,asset,nq,bull,7473.5,7473.5,7393.0,7697.0,2917.5,SL,0.0,80.5,0.0,True,2018-09-06 10:00:00-04:00
2018-09-20 02:00:00-04:00,2018-09-20 06:00:00-04:00,base,nq,bear,7517.75,7554.0,7554.0,7404.5,2867.25,SL,-36.25,36.25,-1.0,False,2018-09-18 14:00:00-04:00
2018-10-01 14:00:00-04:00,2018-10-04 10:00:00-04:00,base,nq,bear,7690.5,7464.75,7725.5,7473.75,2907.5,EXIT_RR,225.75,35.0,6.45,False,2018-09-30 18:00:00-04:00
2019-03-13 18:00:00-04:00,2019-03-15 06:00:00-04:00,asset,nq,bear,7302.75,7324.25,7324.25,6939.0,2722.0,SL,-21.5,21.5,-1.0,False,2019-03-11 18:00:00-04:00
